	time	[fba__A]	[C]	[fba__B1]	[fba__B2]	[model__D]	fba__R1	fba__R2	R3	update__R3	model__R4	vR3
121	12.1	10.0	7.04664189805	0.0	0.0	5.15335810195	0.0	0.0	0.0	1.0	0.704664189805	1.0
122	12.2	10.0	7.07601471873	0.0	0.0	5.22398528127	0.0	0.0	0.0	1.0	0.707601471873	1.0
123	12.3	10.0	7.10509540446	0.0	0.0	5.29490459554	0.0	0.0	0.0	1.0	0.710509540446	1.0
124	12.4	10.0	7.13388686106	0.0	0.0	5.36611313894	0.0	0.0	0.0	1.0	0.713388686106	1.0
125	12.5	10.0	7.16239196541	0.0	0.0	5.43760803459	0.0	0.0	0.0	1.0	0.716239196541	1.0
126	12.6	10.0	7.19061356577	0.0	0.0	5.50938643423	0.0	0.0	0.0	1.0	0.719061356577	1.0
127	12.7	10.0	7.21855448203	0.0	0.0	5.58144551797	0.0	0.0	0.0	1.0	0.721855448203	1.0
128	12.8	10.0	7.24621750605	0.0	0.0	5.65378249395	0.0	0.0	0.0	1.0	0.724621750605	1.0
129	12.9	10.0	7.27360540187	0.0	0.0	5.72639459813	0.0	0.0	0.0	1.0	0.727360540187	1.0
130	13.0	10.0	7.30072090607	0.0	0.0	5.79927909393	0.0	0.0	0.0	1.0	0.730072090607	1.0
131	13.1	10.0	7.32756672794	0.0	0.0	5.87243327206	0.0	0.0	0.0	1.0	0.732756672794	1.0
132	13.2	10.0	7.35414554987	0.0	0.0	5.94585445013	0.0	0.0	0.0	1.0	0.735414554987	1.0
133	13.3	10.0	7.38046002752	0.0	0.0	6.01953997248	0.0	0.0	0.0	1.0	0.738046002752	1.0
134	13.4	10.0	7.40651279015	0.0	0.0	6.09348720985	0.0	0.0	0.0	1.0	0.740651279015	1.0
135	13.5	10.0	7.43230644083	0.0	0.0	6.16769355917	0.0	0.0	0.0	1.0	0.743230644083	1.0
136	13.6	10.0	7.45784355675	0.0	0.0	6.24215644325	0.0	0.0	0.0	1.0	0.745784355675	1.0
137	13.7	10.0	7.48312668947	0.0	0.0	6.31687331053	0.0	0.0	0.0	1.0	0.748312668947	1.0
138	13.8	10.0	7.50815836515	0.0	0.0	6.39184163485	0.0	0.0	0.0	1.0	0.750815836515	1.0
139	13.9	10.0	7.5329410848	0.0	0.0	6.4670589152	0.0	0.0	0.0	1.0	0.75329410848	1.0
140	14.0	10.0	7.55747732457	0.0	0.0	6.54252267543	0.0	0.0	0.0	1.0	0.755747732457	1.0
141	14.1	10.0	7.58176953599	0.0	0.0	6.61823046401	0.0	0.0	0.0	1.0	0.758176953599	1.0
142	14.2	10.0	7.60582014615	0.0	0.0	6.69417985385	0.0	0.0	0.0	1.0	0.760582014615	1.0
143	14.3	10.0	7.62963155805	0.0	0.0	6.77036844195	0.0	0.0	0.0	1.0	0.762963155805	1.0
144	14.4	10.0	7.65320615075	0.0	0.0	6.84679384925	0.0	0.0	0.0	1.0	0.765320615075	1.0
145	14.5	10.0	7.67654627965	0.0	0.0	6.92345372035	0.0	0.0	0.0	1.0	0.767654627965	1.0
146	14.6	10.0	7.69965427673	0.0	0.0	7.00034572327	0.0	0.0	0.0	1.0	0.769965427673	1.0
147	14.7	10.0	7.72253245075	0.0	0.0	7.07746754925	0.0	0.0	0.0	1.0	0.772253245075	1.0
148	14.8	10.0	7.74518308752	0.0	0.0	7.15481691248	0.0	0.0	0.0	1.0	0.774518308752	1.0
149	14.9	10.0	7.76760845011	0.0	0.0	7.23239154989	0.0	0.0	0.0	1.0	0.776760845011	1.0
150	15.0	10.0	7.78981077907	0.0	0.0	7.31018922093	0.0	0.0	0.0	1.0	0.778981077907	1.0
151	15.1	10.0	7.81179229268	0.0	0.0	7.38820770732	0.0	0.0	0.0	1.0	0.781179229268	1.0
152	15.2	10.0	7.83355518712	0.0	0.0	7.46644481288	0.0	0.0	0.0	1.0	0.783355518712	1.0
153	15.3	10.0	7.85510163676	0.0	0.0	7.54489836324	0.0	0.0	0.0	1.0	0.785510163676	1.0
154	15.4	10.0	7.87643379432	0.0	0.0	7.62356620568	0.0	0.0	0.0	1.0	0.787643379432	1.0
155	15.5	10.0	7.89755379111	0.0	0.0	7.70244620889	0.0	0.0	0.0	1.0	0.789755379111	1.0
156	15.6	10.0	7.91846373725	0.0	0.0	7.78153626275	0.0	0.0	0.0	1.0	0.791846373725	1.0
157	15.7	10.0	7.93916572186	0.0	0.0	7.86083427814	0.0	0.0	0.0	1.0	0.793916572186	1.0
158	15.8	10.0	7.95966181327	0.0	0.0	7.94033818673	0.0	0.0	0.0	1.0	0.795966181327	1.0
159	15.9	10.0	7.97995405926	0.0	0.0	8.02004594074	0.0	0.0	0.0	1.0	0.797995405926	1.0
160	16.0	10.0	8.00004448724	0.0	0.0	8.09995551276	0.0	0.0	0.0	1.0	0.800004448724	1.0
161	16.1	10.0	8.01993510442	0.0	0.0	8.18006489558	0.0	0.0	0.0	1.0	0.801993510442	1.0
162	16.2	10.0	8.03962789808	0.0	0.0	8.26037210192	0.0	0.0	0.0	1.0	0.803962789808	1.0
163	16.3	10.0	8.05912483573	0.0	0.0	8.34087516427	0.0	0.0	0.0	1.0	0.805912483573	1.0
164	16.4	10.0	8.07842786529	0.0	0.0	8.42157213471	0.0	0.0	0.0	1.0	0.807842786529	1.0
165	16.5	10.0	8.09753891532	0.0	0.0	8.50246108468	0.0	0.0	0.0	1.0	0.809753891532	1.0
166	16.6	10.0	8.1164598952	0.0	0.0	8.5835401048	0.0	0.0	0.0	1.0	0.81164598952	1.0
167	16.7	10.0	8.1351926953	0.0	0.0	8.6648073047	0.0	0.0	0.0	1.0	0.81351926953	1.0
168	16.8	10.0	8.15373918721	0.0	0.0	8.74626081279	0.0	0.0	0.0	1.0	0.815373918721	1.0
169	16.9	10.0	8.17210122389	0.0	0.0	8.82789877611	0.0	0.0	0.0	1.0	0.817210122389	1.0
170	17.0	10.0	8.19028063987	0.0	0.0	8.90971936013	0.0	0.0	0.0	1.0	0.819028063987	1.0
171	17.1	10.0	8.20827925145	0.0	0.0	8.99172074855	0.0	0.0	0.0	1.0	0.820827925145	1.0
172	17.2	10.0	8.22609885685	0.0	0.0	9.07390114315	0.0	0.0	0.0	1.0	0.822609885685	1.0
173	17.3	10.0	8.24374123639	0.0	0.0	9.15625876361	0.0	0.0	0.0	1.0	0.824374123639	1.0
174	17.4	10.0	8.26120815272	0.0	0.0	9.23879184728	0.0	0.0	0.0	1.0	0.826120815272	1.0
175	17.5	10.0	8.27850135093	0.0	0.0	9.32149864907	0.0	0.0	0.0	1.0	0.827850135093	1.0
176	17.6	10.0	8.29562255875	0.0	0.0	9.40437744125	0.0	0.0	0.0	1.0	0.829562255875	1.0
