Flux	Value
R_glycosyltransferase_GlcDAG160_GlcGlcDAG160	0
R_glycosyltransferase_GlcDAG161_GalGlcDAG161	0
R_glycosyltransferase_GlcDAG161_GlcGlcDAG161	0
R_glycosyltransferase_GlcDAG181_GalGlcDAG181	0
R_glycosyltransferase_GlcDAG181_GlcGlcDAG181	0
R_glycosyltransferase_GlcGlcDAG160_GlcGlcGlcDAG160	0
R_glycosyltransferase_GlcGlcDAG161_GlcGlcGlcDAG161	0
R_glycosyltransferase_GlcGlcDAG181_GlcGlcGlcDAG181	0
R_hydroxyl_radical_generation_1	0
R_LdhA	0
R_Mdh	0
R_MetS	0
R_NH3eq	0.00788772350818379
R_NOX	15.5392032352135
R_Pdp3	0
R_PlsC4	0.0020538192279956
R_PlsC5	0.00156832561084292
R_Ppa	0.0342040379466223
R_Pyk_IDP	0
R_Pyk_TDP	0
R_Pyk_UDP	0
R_SNGLYPOr	0
R_TrxB	0.00655866222252747
R_TXTHM	9.50367425821277E-05
R_TX_AROP11	0
R_TX_AROP12	0
R_TX_AROP13	-4.02031053259215
R_TX_AROP21	0
R_TX_AROP22	0
R_TX_AROP23	0
R_TX_NAUP2	0.00030946400547475
R_TX_THY	0.0141382252245
R_TX_TRK	0.0135683838517729
R_TX_URA	0
R_YbiV_SBT6P	0
R_Apts_His	0.00350008348170218
R_Apts_Ile	0.017657883118792
R_Apts_Leu	0.0216182515920015
R_Apts_Lys	0.0206956195869791
R_Apts_Met	0.00402520075808699
R_Apts_Phe	0.0119598142124949
R_Apts_Pro	0.00638478228589108
R_Apts_Ser	0
R_Apts_Thr	0
R_Apts_Trp	0.00177254938149762
R_Apts_Tyr	2.00525772531125
R_Apts_Val	0.0142977527835226
R_hydroxyl_radical_generation_2	0
R_LIPOYLLYSHs	0
R_MsrA	0
R_MsrB	0
R_Ohr_H2O2	0
R_Ohr_tBHP	0
R_OsmC_H2O2	0
R_OsmC_tBHP	0
R_PgpA1	0.000615409183851985
R_PgpA2	0.000458837003025611
R_PgpA3	0.000306723381133718
R_pSERpp	0.0255301327381832
R_pTHRpp	0.0462219999385168
R_pTYRpp	0.0231336953519
R_TX_H2O	20
R_UshA_hm3dCMP	0
R_UshA_hm5dCMP	0
R_UshA_hm5dUMP	0
R_UshA_hm5hydantoin_dRiboseMP	0
R_UshA_ho5dCMP	0
R_UshA_ho5dUMP	0
R_UshA_ho5ho6dTMP	0
R_UshA_ho5ho6dUMP	0
R_UshA_ho5hydantoin_dRiboseMP	0
R_UshA_IMP	0
R_UshA_k2CMP	0.00308449271357926
R_UshA_m1dAMP	0
R_UshA_m1dGMP	0
R_UshA_m1GMP	0.0231336953519007
R_UshA_m2GMP	0
R_UshA_m3dAMP	0
R_UshA_m3dCMP	0
R_UshA_m3dGMP	0
R_UshA_m3dTMP	0
R_UshA_m4dCMP	0
R_UshA_m5CMP	0
R_UshA_m5dCMP	0
R_UshA_m62AMP	0
R_UshA_m6AMP	0
R_UshA_m6dAMP	0
R_UshA_m7dAMP	0
R_UshA_m7dGMP	0
R_UshA_m7GMP	0
R_UshA_m8dGMP	0
R_UshA_n2dAMP	0
R_UshA_O2edCMP	0
R_UshA_O2edTMP	0
R_UshA_O2mdCMP	0
R_UshA_O2mdTMP	0
R_UshA_O4edTMP	0
